day,countryname,deaths,cumulativedeaths,confirmed,cumulativeconfirmed
2020-01-30,Italy,0,0,2,2
2020-01-31,Italy,0,0,0,2
2020-02-01,Italy,0,0,0,2
2020-02-02,Italy,0,0,0,2
2020-02-03,Italy,0,0,0,2
2020-02-04,Italy,0,0,0,2
2020-02-05,Italy,0,0,0,2
2020-02-06,Italy,0,0,0,2
2020-02-07,Italy,0,0,1,3
2020-02-08,Italy,0,0,0,3
2020-02-09,Italy,0,0,0,3
2020-02-10,Italy,0,0,0,3
2020-02-11,Italy,0,0,0,3
2020-02-12,Italy,0,0,0,3
2020-02-13,Italy,0,0,0,3
2020-02-14,Italy,0,0,0,3
2020-02-15,Italy,0,0,0,3
2020-02-16,Italy,0,0,0,3
2020-02-17,Italy,0,0,0,3
2020-02-18,Italy,0,0,0,3
2020-02-19,Italy,0,0,0,3
2020-02-20,Italy,0,0,0,3
2020-02-21,Italy,0,0,0,3
2020-02-22,Italy,1,1,6,9
2020-02-23,Italy,1,2,67,76
2020-02-24,Italy,0,2,48,124
2020-02-25,Italy,5,7,105,229
2020-02-26,Italy,5,12,93,322
2020-02-27,Italy,0,12,78,400
2020-02-28,Italy,5,17,250,650
2020-02-29,Italy,4,21,238,888
2020-03-01,Italy,8,29,240,1128
2020-03-02,Italy,6,35,561,1689
2020-03-03,Italy,17,52,347,2036
2020-03-04,Italy,28,80,466,2502
2020-03-05,Italy,27,107,587,3089
2020-03-06,Italy,41,148,769,3858
2020-03-07,Italy,49,197,778,4636
2020-03-08,Italy,37,234,1247,5883
2020-03-09,Italy,132,366,1492,7375
2020-03-10,Italy,97,463,1797,9172
2020-03-11,Italy,168,631,977,10149
2020-03-12,Italy,196,827,2313,12462
2020-03-13,Italy,189,1016,2651,15113
2020-03-14,Italy,252,1268,2547,17660
2020-03-15,Italy,173,1441,3497,21157
2020-03-16,Italy,368,1809,3590,24747
2020-03-17,Italy,349,2158,3233,27980
2020-03-18,Italy,347,2505,3526,31506
2020-03-19,Italy,473,2978,4207,35713
2020-03-20,Italy,429,3407,5322,41035
2020-03-21,Italy,625,4032,5986,47021
2020-03-22,Italy,795,4827,6557,53578
2020-03-23,Italy,649,5476,5560,59138
2020-03-24,Italy,601,6077,4789,63927
2020-03-25,Italy,743,6820,5249,69176
2020-03-26,Italy,685,7505,5210,74386
2020-03-27,Italy,660,8165,6153,80539
2020-03-28,Italy,971,9136,5959,86498
2020-03-29,Italy,887,10023,5974,92472
2020-03-30,Italy,758,10781,5217,97689
2020-03-31,Italy,810,11591,4050,101739
2020-04-01,Italy,839,12430,4053,105792
2020-04-02,Italy,727,13157,4782,110574
2020-04-03,Italy,760,13917,4668,115242
2020-04-04,Italy,764,14681,4585,119827
2020-04-05,Italy,681,15362,4805,124632
2020-04-06,Italy,527,15889,4316,128948
2020-04-07,Italy,0,15889,0,128948
